[2025-12-19 15:54:31,395: INFO: main]: Starting the CNN Classifier module
[2026-01-19 13:49:33,490: INFO: main: Starting the CNN Classifier module]
[2026-01-19 14:16:51,894: INFO: common: YAML file: config/config.yaml loaded successfully]
[2026-01-19 14:16:51,973: INFO: common: YAML file: params.yaml loaded successfully]
[2026-01-19 14:16:51,978: INFO: common: Directory created at: artifacts]
[2026-01-19 14:16:51,981: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-01-19 14:16:51,985: INFO: 836667871: Downloading data from : https://drive.google.com/file/d/1r-xuMRVyvMCK3svG00Ef8GXlpxLGTL9N/view?usp=sharing into to : artifacts/data_ingestion/data.zip]
[2026-01-19 14:18:25,951: INFO: common: YAML file: config/config.yaml loaded successfully]
[2026-01-19 14:18:25,954: INFO: common: YAML file: params.yaml loaded successfully]
[2026-01-19 14:18:25,956: INFO: common: Directory created at: artifacts]
[2026-01-19 14:18:25,957: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-01-19 14:18:25,958: INFO: 1688468818: Downloading data from : https://drive.google.com/file/d/1r-xuMRVyvMCK3svG00Ef8GXlpxLGTL9N/view?usp=sharing into to : artifacts/data_ingestion/data.zip]
[2026-01-19 14:19:55,125: INFO: common: YAML file: config/config.yaml loaded successfully]
[2026-01-19 14:19:55,130: INFO: common: YAML file: params.yaml loaded successfully]
[2026-01-19 14:19:55,132: INFO: common: Directory created at: artifacts]
[2026-01-19 14:19:55,135: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-01-19 14:19:55,136: INFO: 1688468818: Downloading data from : https://drive.google.com/file/d/1r-xuMRVyvMCK3svG00Ef8GXlpxLGTL9N/view?usp=sharing into to : artifacts/data_ingestion/data.zip]
